count,confidence,boxes,scores,run_id,timestamp
37,0.8973657989212436,"[[547.67342922 586.36982637  87.60031735 558.04987032]
 [485.04442704   2.41233874 417.97457569 262.87799331]
 [769.7872017  180.45190185  97.33037759  31.68416359]
 [661.28952306 796.89569375 660.15930787 258.04758247]
 [367.95762357  31.53591808 789.47652777  29.88764824]
 [ 51.69950571  95.98008965 704.54711824 258.38994547]
 [769.77132099 319.29314708 509.9640647  519.53170757]
 [641.33460664 226.37914891 446.24660722 479.9713417 ]
 [368.66940623 205.09167353 618.83995328 411.97338077]
 [105.40670343 565.16375412 590.27304989 607.0887474 ]]","[0.80311355 0.8931836  0.95551145 0.7987579  0.00500323 0.76587715
 0.22103654 0.42946072 0.08596693 0.92163333]",1,2025-03-03T23:24:57.160325
42,0.8977479716874808,"[[ 20.70752858 790.26271658 447.31942941  89.7296646 ]
 [605.95954286 545.25833062 637.9611023  631.6966978 ]
 [ 25.39742133 306.62212054 613.49912772 352.76984393]
 [724.22585587 633.44760218 760.5835557  729.59229588]
 [ 83.24614688 225.42588292 219.36823156 671.47429914]
 [195.21453294 180.2642649  276.92786732 314.94460188]
 [532.85029979 557.25957466 538.3555293  704.72027267]
 [363.67131266  78.5202567  686.17943095 308.97718127]
 [525.41251701 233.71178603   2.94845366 386.80411298]
 [241.7021539  207.74898723 203.01087693  89.86966846]]","[0.9273112  0.66683183 0.23018377 0.9021976  0.48833813 0.76994025
 0.09005327 0.4796384  0.96650236 0.14103444]",2,2025-03-03T23:24:57.168354
38,0.9264520163100457,"[[317.00513969 786.4696962   29.75560124  31.59845394]
 [104.08021969 102.53815753 601.87340262  56.16966076]
 [633.15280567 313.38431366 703.38751016 579.88706003]
 [590.28271061 196.27346152 187.10916462 108.01847908]
 [353.10447184  69.72860812 596.73986132 254.49200542]
 [129.41644155 413.08362183 326.75510857 570.08788182]
 [630.35344958 515.37103695 171.52264836 349.49628313]
 [748.93914475  47.78304164 337.7392071  468.9921081 ]
 [548.51362119 201.78700584 655.80803198 401.51122838]
 [322.53142915 196.99841109 651.95829009 386.009507  ]]","[0.85793237 0.06455789 0.60481421 0.22464989 0.64294553 0.73477833
 0.05981113 0.3742297  0.56314721 0.97702493]",3,2025-03-03T23:24:57.176481
32,0.8253677360662685,"[[749.33315388 128.42786077 316.9545109  425.35582617]
 [ 89.88028873 698.90959057 643.84156336 782.65214861]
 [ 12.15832505 135.93590831 423.06843543 678.66582271]
 [208.88697567 356.53296503 160.57936188 790.08763838]
 [420.17175545 750.74115713 147.14602617  90.63252012]
 [510.33501346 565.02284624 535.11803658  25.3569198 ]
 [319.55139384 591.04898527 732.19653722 102.65799221]
 [462.76403308 782.47307667 256.95138286 388.70881224]
 [600.41268448 102.21629662 748.40454901 712.52816623]
 [205.05680822 480.90666825 119.69705855 769.65881401]]","[0.77519299 0.5132824  0.87131021 0.12212076 0.23712757 0.26609073
 0.83873651 0.09277335 0.45787504 0.3608516 ]",4,2025-03-03T23:24:57.185546
36,0.8653844030244744,"[[537.61742017 393.43157314 615.04726556  46.33258071]
 [298.93017862 192.76609412 348.07031133 290.51635739]
 [180.4127086  469.32958602 535.68402891 500.03487529]
 [183.53032802  64.78227716 518.64018236 153.04835784]
 [ 42.0285027  140.48417326 189.82592812 654.65484962]
 [714.22893238 755.6916804  181.56447699 457.32893955]
 [ 76.87586623 232.48776523 616.7135465  556.80862384]
 [622.0231203  497.27865546 189.67846215   5.67153046]
 [764.33684686 679.69892605 740.38635222 268.6775849 ]
 [334.00868025 580.20341145 368.16401574 392.86726687]]","[0.20254637 0.96306211 0.22379516 0.75655043 0.67768812 0.10769673
 0.61833364 0.31565892 0.95503211 0.58374428]",5,2025-03-03T23:24:57.193223
23,0.857275993735327,"[[298.6759162  641.44128681 344.88163285 510.90489547]
 [ 67.92701756 312.48667255 725.41620128 449.18855524]
 [737.61149379 104.75840852 654.02399428 461.76913706]
 [182.25247906 798.02688659 154.62937799 417.96100566]
 [780.59201019 159.11146686  61.20075146 151.50487824]
 [713.38847968 736.64526339 145.78454845 348.97254186]
 [370.16871524 757.29161846  27.02881819  13.39326088]
 [163.64575319 414.60668213 471.97344206 751.12532484]
 [176.18427262 478.41970773  25.35027003 257.71199142]
 [326.86173846 517.75517627 592.18397093 747.07882531]]","[0.23829374 0.49151032 0.24031732 0.43549539 0.45650358 0.72556697
 0.10680605 0.0615068  0.7145607  0.19892864]",6,2025-03-03T23:24:57.200852
13,0.881455717744488,"[[666.11653771 236.37870782 307.73085184 723.25145859]
 [ 77.86097336 254.66275901 406.17236093 673.43494719]
 [212.46160552 748.26384824 666.45245968 106.83904628]
 [491.52069631 504.95308512 758.57923692 123.92153536]
 [132.39709327 347.18629248 523.92997119 790.60266719]
 [278.07473913 335.9006769  735.82585669  58.50849117]
 [213.69782155 432.61507453 752.65207128 264.49535132]
 [344.66965485 723.2179471  652.73188402 144.17412056]
 [ 10.70892411  49.74519372 652.75221693 646.19732967]
 [729.28115494 670.03244475 431.21228079 456.55853752]]","[0.45144287 0.80540314 0.78557355 0.91147295 0.92655625 0.03219808
 0.1404875  0.37800222 0.59259737 0.15925124]",7,2025-03-03T23:24:57.207538
23,0.943085604670369,"[[602.98111369 301.05558586 762.77745121 452.55725979]
 [ 77.31339158 548.68080329 254.49326646 611.56144364]
 [647.23838864 155.46754182 257.33838513 256.47570999]
 [102.61132694 327.13755222 551.08248734 487.4497906 ]
 [530.18637961  98.11100336 721.31073089 118.26145184]
 [ 18.84472852 615.31901054 757.2450528   24.462246  ]
 [ 58.30116603 187.01665303 252.57835823 254.27928662]
 [767.78204482  61.45767591  32.97029327 556.71868246]
 [597.28634301 699.03675557 606.42720999 325.07736812]
 [ 37.93484724 227.5053259   35.45227871 236.45197073]]","[0.18305028 0.73405494 0.04223669 0.99745828 0.47875232 0.14755505
 0.32872622 0.77058066 0.99561649 0.19022839]",8,2025-03-03T23:24:57.214433
32,0.8521479732348978,"[[557.24677939 582.35249575 459.8464814  314.47235238]
 [186.0477775  217.88348059 347.4336117  761.17290595]
 [265.40936451 119.88798485 210.29300529 244.40053521]
 [405.29837754 355.76596186 763.53216129 714.81747295]
 [746.55328602   4.27884121 104.498449   632.94047094]
 [293.32621025 660.56351312 382.45038853 373.12365403]
 [423.31633742 131.59410299 160.30580851 513.57557401]
 [224.20036552 464.81129509  31.94332865 644.65333479]
 [466.15586634 179.14980761 750.91623247 723.50007869]
 [251.57960531 539.98950779 141.97850417 617.84115449]]","[0.54160465 0.57878206 0.73471491 0.49022747 0.08522675 0.68810402
 0.33666711 0.40042185 0.87838139 0.84374123]",9,2025-03-03T23:24:57.222457
18,0.8190693126441307,"[[ 87.56950749 389.20404331 364.87787358 510.53315462]
 [596.30746781 567.32163901 407.91661515 320.44649786]
 [352.41243384 290.83164005 718.62928186  42.21383207]
 [135.37488253 484.91988822 743.15160891  46.23937248]
 [568.80658148 286.86987601 180.90023891 308.1318441 ]
 [481.94426672  88.33550655 797.43829644 663.1007246 ]
 [233.93267715 713.29422254 750.23869944 549.57217853]
 [318.44048645 435.44959305 467.55005887 423.74546171]
 [326.29393224 200.13712502 175.92583644   3.71974633]
 [420.35688605 152.20289452 466.16746665 239.83802113]]","[0.53873345 0.44534554 0.45915835 0.45903059 0.61380564 0.486516
 0.77870331 0.97963925 0.71124612 0.17064038]",10,2025-03-03T23:24:57.230462
