count,confidence,boxes,scores,run_id,timestamp
29,0.8416858187685353,"[[582.63912295 283.10978479 757.95629722 549.24903736]
 [383.53496457 280.77293221 538.1085718  652.50007075]
 [511.75090852 736.96138663 440.16541029 645.43783567]
 [449.95823866  32.64408788 467.0821996  597.90923742]
 [432.17016896 176.26962569 604.88229992 698.24324372]
 [ 24.17558602 751.63491206 627.29784897 112.4700621 ]
 [718.90477054 733.30562004 431.70336442  39.20207763]
 [673.1287136   81.80512791 682.04310209 627.94474637]
 [ 70.80942427 625.61215099 172.19659621 464.21888169]
 [725.79892116 186.26976711 204.67498575 779.55688657]]","[0.40304942 0.96209971 0.40402237 0.08904225 0.18352097 0.9288205
 0.71772006 0.50832123 0.12976282 0.95446566]",1,2025-03-03T22:43:13.217808
45,0.8282230454423725,"[[ 27.9748662  209.93455405 760.35887062 625.11332669]
 [287.26104383 452.16500018  74.01852927 232.94679836]
 [  1.0507641  583.17360798 379.03099877 511.95281044]
 [689.33930051  33.95367613 328.52499141 492.90430896]
 [231.29981138 778.55266065 332.11215833 323.01988424]
 [787.82436292 676.42856579 594.30049238 756.30818496]
 [408.37544857 558.33439195 684.92426736 365.91737579]
 [659.22006195 382.29557369 746.66975147  73.42075988]
 [  4.8494637  742.53205963 138.54511838 227.02928279]
 [610.28913652 467.9975018  236.00319498 561.04271184]]","[0.60812489 0.35605302 0.82954841 0.4743517  0.56418864 0.34035173
 0.04903464 0.36899633 0.23145098 0.09965247]",2,2025-03-03T22:43:13.223787
37,0.860321762960949,"[[308.49046275 466.53400053 334.83863746 395.52880326]
 [706.47543518 419.17251675 539.06228115 374.63077165]
 [198.83127778 535.66186625 116.5893987   99.44617608]
 [430.09813525 671.72789074 300.61656624  74.9732016 ]
 [508.66187364 726.12709582 285.1059482   53.40978997]
 [251.03075944 232.16474512 770.32569862 532.05844825]
 [  3.13667173 131.92508707 792.02461301 138.36545766]
 [685.43627208 791.94061533 309.12232219 118.48627704]
 [258.87826113 538.29091879 736.86783659 371.61950824]
 [512.76197842 290.11765468 325.12305704  87.28463598]]","[0.74935845 0.29455335 0.75903167 0.57849338 0.51843344 0.53925247
 0.08786429 0.13733139 0.53669146 0.94152471]",3,2025-03-03T22:43:13.230145
42,0.8171105893079872,"[[180.75466819 712.75313163 326.76474946 568.22846117]
 [484.09278885 758.66234678 164.2008831  575.5645321 ]
 [398.47167141 669.38721269  22.76447068 532.35577547]
 [428.26242629 638.63934338 183.94197019 454.88485175]
 [ 84.63364724 329.97513975 732.39164255 462.04107441]
 [406.14458956 244.04396839 707.05533086 119.90654484]
 [554.65594179  98.35257732 357.7599908  295.81039613]
 [384.35797948 333.70094272 445.99017275 603.60392065]
 [697.57883987 458.47815287 557.98375016 717.77787804]
 [186.05012075 344.0237665  351.89650069 730.96181492]]","[0.55872289 0.70361327 0.38548039 0.2431064  0.69848074 0.10510319
 0.99673101 0.13002358 0.11651361 0.62057535]",4,2025-03-03T22:43:13.235844
16,0.8282203578078751,"[[652.33663468   7.88203651 782.52594694 756.60504389]
 [446.71927663 360.84291642 793.91676227 245.13646261]
 [569.14304071 616.79654197 793.91290224 575.25793994]
 [654.07556774 746.54044654 627.8585315  447.18553797]
 [563.42932111 331.73871836  86.75703504 486.79802391]
 [442.553995    96.33499876  48.13655994 284.15950603]
 [370.13864617 304.0027647  775.01501809 207.22600772]
 [580.18202345 126.49648081 259.81347535 474.37771708]
 [644.84763755 444.20982947 634.53594988 109.87265646]
 [ 79.43154284 250.84064707  62.34307291 638.68369511]]","[0.0202375  0.25207128 0.93589761 0.9044034  0.25387993 0.10141219
 0.49291589 0.32815595 0.86697965 0.73208478]",5,2025-03-03T22:43:13.241296
28,0.818236818050973,"[[422.57421327 733.69144062 266.26219043 635.22192109]
 [405.63313313 541.03102342 677.0325748   97.41346298]
 [164.71320626 632.69511452 151.59604141 620.79992129]
 [ 74.26786327 278.93590713 312.6018793  514.43769998]
 [540.44473477 335.19281384 399.01455962 598.31051057]
 [244.42206777 316.34490821 618.38526168 390.05235319]
 [527.35446841   0.87659317 633.56866908  90.28208971]
 [277.16327228 193.88515647  80.42554536 633.76938427]
 [471.57317717  98.00163612 513.86229491 635.1678398 ]
 [731.57032492 691.78595313 469.6934007  667.26532347]]","[0.48649406 0.11136158 0.59728313 0.73449666 0.6676089  0.88062923
 0.15192128 0.53682203 0.402448   0.29899395]",6,2025-03-03T22:43:13.246524
15,0.8514693925676351,"[[527.43123034 290.23188412 602.21520182 716.95679256]
 [313.16004554 697.40965292  85.59513921 538.65605358]
 [499.01014105 744.55458734 715.67604878 102.88541841]
 [774.8748994  394.05952145 722.36809994  86.18173892]
 [408.34046289 297.32970333  56.1711857  682.66632911]
 [625.61361154 470.11160499  81.08749675  24.68447757]
 [659.4069842  210.02863073 469.52719581 596.38775621]
 [608.16205155 774.60382196 594.81949598 203.63961833]
 [761.19085033 535.93144868 712.41660123 669.68668222]
 [268.24753735 322.43578779 161.42867048 562.25387188]]","[0.51635981 0.9194828  0.52360529 0.24982427 0.85051472 0.40698058
 0.36766859 0.91681667 0.90260987 0.30641215]",7,2025-03-03T22:43:13.251593
42,0.905308393040226,"[[548.21625229 500.01532024 293.9426856  660.9497088 ]
 [222.80766715 748.10371519 410.03897826 567.91796306]
 [  6.63470599 385.64555522 389.38899096 171.71339054]
 [536.52682589   6.49474511 346.17469762 694.39530074]
 [236.53590255 727.113523   725.81097983 617.07990448]
 [353.72055163 647.01136718 478.10491763  19.58764569]
 [454.16567251 650.43075404 387.32839188  40.65117554]
 [ 29.71572549 786.41693474 718.74211488 442.29475647]
 [721.66186366 753.80481923 576.05092781 391.87538417]
 [102.08722983 283.92651044 712.08513546 496.672069  ]]","[0.49951187 0.68713069 0.87806407 0.76714924 0.71442095 0.43340098
 0.19433787 0.69928587 0.06432586 0.5469662 ]",8,2025-03-03T22:43:13.257181
50,0.835809393802315,"[[ 60.62418738 478.22667426  47.42216027 117.14571197]
 [214.00860489 200.55234773  33.13512852 460.01918679]
 [449.24868976  35.43697299 385.90121856 264.4437015 ]
 [623.1391457  490.99221827 462.22005397 417.34685883]
 [  1.52003177 360.04936262 130.72112776 221.22724543]
 [438.06783596 663.50120716 622.98174553 158.55762583]
 [ 44.17369575 583.07229099 161.19113085 316.10731293]
 [316.10653237 325.95665327 598.10058044 617.24247273]
 [219.66876292 144.76717898 772.20703625 712.97703877]
 [ 30.71310463 655.58284181 207.71601931 666.06837621]]","[0.58737    0.44720259 0.96869206 0.63230359 0.55856008 0.18152118
 0.1878586  0.21311596 0.46269057 0.99447183]",9,2025-03-03T22:43:13.262330
18,0.8291388296127055,"[[356.9356689  270.76295409 249.06357626 226.9742368 ]
 [ 50.96343131 433.1130765  133.51375535 434.99011332]
 [162.1476165  406.65453604 621.57797858 552.41216728]
 [ 12.49908387 703.23737234 198.48446674 792.65505351]
 [439.25020519  94.1359792  442.09377513 550.56232197]
 [137.04651446  32.58498281 410.34966791 686.62733545]
 [440.12751876 652.61759543 649.12410765  38.0754698 ]
 [ 61.23689335  85.92046676 142.20221967 170.56003365]
 [109.04370131 793.53105008 159.76273056 286.9612786 ]
 [ 54.45157303 406.11246672 429.35489912 342.95771661]]","[0.27244389 0.32935046 0.48379233 0.83537452 0.20009282 0.46082885
 0.76821163 0.85476337 0.52915505 0.7064482 ]",10,2025-03-03T22:43:13.268113
30,0.9074056835837555,"[[613.13758449 410.22313467 244.67410859 149.83129495]
 [743.90165121 292.1701504  728.26248806 224.89313342]
 [230.10990835 294.11489616 737.30937835 548.45275315]
 [  2.74474095 132.55985251 267.71443931 620.2147235 ]
 [794.37203889 113.78199238 708.99145603 213.00218725]
 [539.99056529 762.07502391 159.58814614 533.14905139]
 [ 52.51322355 774.95631315 238.62156567 676.24304639]
 [367.1202032  284.95933215 387.92162742 365.93236594]
 [476.37069022 246.33683225 647.77871545 634.18143265]
 [175.22011704 539.45125891  13.29034595 342.34100697]]","[0.9244805  0.85904575 0.23232419 0.18634615 0.17584548 0.63847574
 0.53974636 0.26676398 0.28471458 0.27154331]",11,2025-03-03T22:43:13.273886
