tophat_kernel,clahe_clip,minArea,minCircularity,count,near_center,on_ring,overlay
"(7, 7)",1.0,20,0.12,8,0,0,tk7_cc1.0_ma20_mc0.12.png
"(7, 7)",1.0,20,0.2,8,0,0,tk7_cc1.0_ma20_mc0.2.png
"(7, 7)",1.0,20,0.3,8,0,0,tk7_cc1.0_ma20_mc0.3.png
"(7, 7)",1.0,50,0.12,8,0,0,tk7_cc1.0_ma50_mc0.12.png
"(7, 7)",1.0,50,0.2,8,0,0,tk7_cc1.0_ma50_mc0.2.png
"(7, 7)",1.0,50,0.3,8,0,0,tk7_cc1.0_ma50_mc0.3.png
"(7, 7)",1.0,80,0.12,8,0,0,tk7_cc1.0_ma80_mc0.12.png
"(7, 7)",1.0,80,0.2,8,0,0,tk7_cc1.0_ma80_mc0.2.png
"(7, 7)",1.0,80,0.3,8,0,0,tk7_cc1.0_ma80_mc0.3.png
"(7, 7)",1.5,20,0.12,8,0,0,tk7_cc1.5_ma20_mc0.12.png
"(7, 7)",1.5,20,0.2,8,0,0,tk7_cc1.5_ma20_mc0.2.png
"(7, 7)",1.5,20,0.3,8,0,0,tk7_cc1.5_ma20_mc0.3.png
"(7, 7)",1.5,50,0.12,8,0,0,tk7_cc1.5_ma50_mc0.12.png
"(7, 7)",1.5,50,0.2,8,0,0,tk7_cc1.5_ma50_mc0.2.png
"(7, 7)",1.5,50,0.3,8,0,0,tk7_cc1.5_ma50_mc0.3.png
"(7, 7)",1.5,80,0.12,8,0,0,tk7_cc1.5_ma80_mc0.12.png
"(7, 7)",1.5,80,0.2,8,0,0,tk7_cc1.5_ma80_mc0.2.png
"(7, 7)",1.5,80,0.3,8,0,0,tk7_cc1.5_ma80_mc0.3.png
"(7, 7)",2.0,20,0.12,8,0,0,tk7_cc2.0_ma20_mc0.12.png
"(7, 7)",2.0,20,0.2,8,0,0,tk7_cc2.0_ma20_mc0.2.png
"(7, 7)",2.0,20,0.3,8,0,0,tk7_cc2.0_ma20_mc0.3.png
"(7, 7)",2.0,50,0.12,8,0,0,tk7_cc2.0_ma50_mc0.12.png
"(7, 7)",2.0,50,0.2,8,0,0,tk7_cc2.0_ma50_mc0.2.png
"(7, 7)",2.0,50,0.3,8,0,0,tk7_cc2.0_ma50_mc0.3.png
"(7, 7)",2.0,80,0.12,8,0,0,tk7_cc2.0_ma80_mc0.12.png
"(7, 7)",2.0,80,0.2,8,0,0,tk7_cc2.0_ma80_mc0.2.png
"(7, 7)",2.0,80,0.3,8,0,0,tk7_cc2.0_ma80_mc0.3.png
"(9, 9)",1.0,20,0.12,8,0,0,tk9_cc1.0_ma20_mc0.12.png
"(9, 9)",1.0,20,0.2,8,0,0,tk9_cc1.0_ma20_mc0.2.png
"(9, 9)",1.0,20,0.3,8,0,0,tk9_cc1.0_ma20_mc0.3.png
"(9, 9)",1.0,50,0.12,8,0,0,tk9_cc1.0_ma50_mc0.12.png
"(9, 9)",1.0,50,0.2,8,0,0,tk9_cc1.0_ma50_mc0.2.png
"(9, 9)",1.0,50,0.3,8,0,0,tk9_cc1.0_ma50_mc0.3.png
"(9, 9)",1.0,80,0.12,8,0,0,tk9_cc1.0_ma80_mc0.12.png
"(9, 9)",1.0,80,0.2,8,0,0,tk9_cc1.0_ma80_mc0.2.png
"(9, 9)",1.0,80,0.3,8,0,0,tk9_cc1.0_ma80_mc0.3.png
"(9, 9)",1.5,20,0.12,8,0,0,tk9_cc1.5_ma20_mc0.12.png
"(9, 9)",1.5,20,0.2,8,0,0,tk9_cc1.5_ma20_mc0.2.png
"(9, 9)",1.5,20,0.3,8,0,0,tk9_cc1.5_ma20_mc0.3.png
"(9, 9)",1.5,50,0.12,8,0,0,tk9_cc1.5_ma50_mc0.12.png
"(9, 9)",1.5,50,0.2,8,0,0,tk9_cc1.5_ma50_mc0.2.png
"(9, 9)",1.5,50,0.3,8,0,0,tk9_cc1.5_ma50_mc0.3.png
"(9, 9)",1.5,80,0.12,8,0,0,tk9_cc1.5_ma80_mc0.12.png
"(9, 9)",1.5,80,0.2,8,0,0,tk9_cc1.5_ma80_mc0.2.png
"(9, 9)",1.5,80,0.3,8,0,0,tk9_cc1.5_ma80_mc0.3.png
"(9, 9)",2.0,20,0.12,8,0,0,tk9_cc2.0_ma20_mc0.12.png
"(9, 9)",2.0,20,0.2,8,0,0,tk9_cc2.0_ma20_mc0.2.png
"(9, 9)",2.0,20,0.3,8,0,0,tk9_cc2.0_ma20_mc0.3.png
"(9, 9)",2.0,50,0.12,8,0,0,tk9_cc2.0_ma50_mc0.12.png
"(9, 9)",2.0,50,0.2,8,0,0,tk9_cc2.0_ma50_mc0.2.png
"(9, 9)",2.0,50,0.3,8,0,0,tk9_cc2.0_ma50_mc0.3.png
"(9, 9)",2.0,80,0.12,8,0,0,tk9_cc2.0_ma80_mc0.12.png
"(9, 9)",2.0,80,0.2,8,0,0,tk9_cc2.0_ma80_mc0.2.png
"(9, 9)",2.0,80,0.3,8,0,0,tk9_cc2.0_ma80_mc0.3.png
"(11, 11)",1.0,20,0.12,8,0,0,tk11_cc1.0_ma20_mc0.12.png
"(11, 11)",1.0,20,0.2,8,0,0,tk11_cc1.0_ma20_mc0.2.png
"(11, 11)",1.0,20,0.3,8,0,0,tk11_cc1.0_ma20_mc0.3.png
"(11, 11)",1.0,50,0.12,8,0,0,tk11_cc1.0_ma50_mc0.12.png
"(11, 11)",1.0,50,0.2,8,0,0,tk11_cc1.0_ma50_mc0.2.png
"(11, 11)",1.0,50,0.3,8,0,0,tk11_cc1.0_ma50_mc0.3.png
"(11, 11)",1.0,80,0.12,8,0,0,tk11_cc1.0_ma80_mc0.12.png
"(11, 11)",1.0,80,0.2,8,0,0,tk11_cc1.0_ma80_mc0.2.png
"(11, 11)",1.0,80,0.3,8,0,0,tk11_cc1.0_ma80_mc0.3.png
"(11, 11)",1.5,20,0.12,8,0,0,tk11_cc1.5_ma20_mc0.12.png
"(11, 11)",1.5,20,0.2,8,0,0,tk11_cc1.5_ma20_mc0.2.png
"(11, 11)",1.5,20,0.3,8,0,0,tk11_cc1.5_ma20_mc0.3.png
"(11, 11)",1.5,50,0.12,8,0,0,tk11_cc1.5_ma50_mc0.12.png
"(11, 11)",1.5,50,0.2,8,0,0,tk11_cc1.5_ma50_mc0.2.png
"(11, 11)",1.5,50,0.3,8,0,0,tk11_cc1.5_ma50_mc0.3.png
"(11, 11)",1.5,80,0.12,8,0,0,tk11_cc1.5_ma80_mc0.12.png
"(11, 11)",1.5,80,0.2,8,0,0,tk11_cc1.5_ma80_mc0.2.png
"(11, 11)",1.5,80,0.3,8,0,0,tk11_cc1.5_ma80_mc0.3.png
"(11, 11)",2.0,20,0.12,8,0,0,tk11_cc2.0_ma20_mc0.12.png
