{'tophat_kernel': (9, 9), 'clahe_clip': 1.0, 'minArea': 30, 'minCircularity': 0.15} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.0, 'minArea': 30, 'minCircularity': 0.2} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.0, 'minArea': 30, 'minCircularity': 0.25} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.0, 'minArea': 50, 'minCircularity': 0.15} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.0, 'minArea': 50, 'minCircularity': 0.2} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.0, 'minArea': 50, 'minCircularity': 0.25} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.0, 'minArea': 80, 'minCircularity': 0.15} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.0, 'minArea': 80, 'minCircularity': 0.2} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.0, 'minArea': 80, 'minCircularity': 0.25} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.5, 'minArea': 30, 'minCircularity': 0.15} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.5, 'minArea': 30, 'minCircularity': 0.2} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.5, 'minArea': 30, 'minCircularity': 0.25} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.5, 'minArea': 50, 'minCircularity': 0.15} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.5, 'minArea': 50, 'minCircularity': 0.2} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.5, 'minArea': 50, 'minCircularity': 0.25} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.5, 'minArea': 80, 'minCircularity': 0.15} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.5, 'minArea': 80, 'minCircularity': 0.2} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 1.5, 'minArea': 80, 'minCircularity': 0.25} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 2.0, 'minArea': 30, 'minCircularity': 0.15} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 2.0, 'minArea': 30, 'minCircularity': 0.2} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 2.0, 'minArea': 30, 'minCircularity': 0.25} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 2.0, 'minArea': 50, 'minCircularity': 0.15} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 2.0, 'minArea': 50, 'minCircularity': 0.2} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 2.0, 'minArea': 50, 'minCircularity': 0.25} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 2.0, 'minArea': 80, 'minCircularity': 0.15} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 2.0, 'minArea': 80, 'minCircularity': 0.2} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (9, 9), 'clahe_clip': 2.0, 'minArea': 80, 'minCircularity': 0.25} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (15, 15), 'clahe_clip': 1.0, 'minArea': 30, 'minCircularity': 0.15} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (15, 15), 'clahe_clip': 1.0, 'minArea': 30, 'minCircularity': 0.2} -> {'near_center': False, 'on_ring': False, 'count': 2}
{'tophat_kernel': (15, 15), 'clahe_clip': 1.0, 'minArea': 30, 'minCircularity': 0.25} -> {'near_center': False, 'on_ring': False, 'count': 2}
