image,model,thr,count,top_score
2021041310020608608.jpg,pytorch,thr=0.3,count=50,top_score=0.978
2021041310020608608.jpg,pytorch,thr=0.35,count=50,top_score=0.978
2021041310020608608.jpg,pytorch,thr=0.4,count=50,top_score=0.978
2021041310020608608.jpg,pytorch,thr=0.45,count=50,top_score=0.978
2021041310020608608.jpg,pytorch,thr=0.5,count=50,top_score=0.978
2021041310020608608.jpg,onnx_a,thr=0.3,count=0,top_score=0.000
2021041310020608608.jpg,onnx_a,thr=0.35,count=0,top_score=0.000
2021041310020608608.jpg,onnx_a,thr=0.4,count=0,top_score=0.000
2021041310020608608.jpg,onnx_a,thr=0.45,count=0,top_score=0.000
2021041310020608608.jpg,onnx_a,thr=0.5,count=0,top_score=0.000
2021041310020608608.jpg,onnx_b,thr=0.3,count=65,top_score=0.516
2021041310020608608.jpg,onnx_b,thr=0.35,count=65,top_score=0.516
2021041310020608608.jpg,onnx_b,thr=0.4,count=65,top_score=0.516
2021041310020608608.jpg,onnx_b,thr=0.45,count=37,top_score=0.516
2021041310020608608.jpg,onnx_b,thr=0.5,count=11,top_score=0.516
2121.jpg,pytorch,thr=0.3,count=55,top_score=0.930
2121.jpg,pytorch,thr=0.35,count=55,top_score=0.930
2121.jpg,pytorch,thr=0.4,count=55,top_score=0.930
2121.jpg,pytorch,thr=0.45,count=55,top_score=0.930
2121.jpg,pytorch,thr=0.5,count=55,top_score=0.930
2121.jpg,onnx_a,thr=0.3,count=0,top_score=0.000
2121.jpg,onnx_a,thr=0.35,count=0,top_score=0.000
2121.jpg,onnx_a,thr=0.4,count=0,top_score=0.000
2121.jpg,onnx_a,thr=0.45,count=0,top_score=0.000
2121.jpg,onnx_a,thr=0.5,count=0,top_score=0.000
2121.jpg,onnx_b,thr=0.3,count=0,top_score=0.000
2121.jpg,onnx_b,thr=0.35,count=0,top_score=0.000
2121.jpg,onnx_b,thr=0.4,count=0,top_score=0.000
2121.jpg,onnx_b,thr=0.45,count=0,top_score=0.000
2121.jpg,onnx_b,thr=0.5,count=0,top_score=0.000
OIP-C.jpg,pytorch,thr=0.3,count=39,top_score=0.848
OIP-C.jpg,pytorch,thr=0.35,count=39,top_score=0.848
OIP-C.jpg,pytorch,thr=0.4,count=39,top_score=0.848
OIP-C.jpg,pytorch,thr=0.45,count=39,top_score=0.848
OIP-C.jpg,pytorch,thr=0.5,count=39,top_score=0.848
OIP-C.jpg,onnx_a,thr=0.3,count=0,top_score=0.000
OIP-C.jpg,onnx_a,thr=0.35,count=0,top_score=0.000
OIP-C.jpg,onnx_a,thr=0.4,count=0,top_score=0.000
OIP-C.jpg,onnx_a,thr=0.45,count=0,top_score=0.000
OIP-C.jpg,onnx_a,thr=0.5,count=0,top_score=0.000
OIP-C.jpg,onnx_b,thr=0.3,count=2,top_score=0.492
OIP-C.jpg,onnx_b,thr=0.35,count=2,top_score=0.492
OIP-C.jpg,onnx_b,thr=0.4,count=2,top_score=0.492
OIP-C.jpg,onnx_b,thr=0.45,count=1,top_score=0.492
OIP-C.jpg,onnx_b,thr=0.5,count=0,top_score=0.492
R-C.jpg,pytorch,thr=0.3,count=50,top_score=0.897
R-C.jpg,pytorch,thr=0.35,count=50,top_score=0.897
R-C.jpg,pytorch,thr=0.4,count=50,top_score=0.897
R-C.jpg,pytorch,thr=0.45,count=50,top_score=0.897
R-C.jpg,pytorch,thr=0.5,count=50,top_score=0.897
R-C.jpg,onnx_a,thr=0.3,count=0,top_score=0.000
R-C.jpg,onnx_a,thr=0.35,count=0,top_score=0.000
R-C.jpg,onnx_a,thr=0.4,count=0,top_score=0.000
R-C.jpg,onnx_a,thr=0.45,count=0,top_score=0.000
R-C.jpg,onnx_a,thr=0.5,count=0,top_score=0.000
R-C.jpg,onnx_b,thr=0.3,count=0,top_score=0.000
R-C.jpg,onnx_b,thr=0.35,count=0,top_score=0.000
R-C.jpg,onnx_b,thr=0.4,count=0,top_score=0.000
R-C.jpg,onnx_b,thr=0.45,count=0,top_score=0.000
R-C.jpg,onnx_b,thr=0.5,count=0,top_score=0.000
t019872959c62f44875.jpg,pytorch,thr=0.3,count=55,top_score=0.935
t019872959c62f44875.jpg,pytorch,thr=0.35,count=55,top_score=0.935
t019872959c62f44875.jpg,pytorch,thr=0.4,count=55,top_score=0.935
t019872959c62f44875.jpg,pytorch,thr=0.45,count=55,top_score=0.935
t019872959c62f44875.jpg,pytorch,thr=0.5,count=55,top_score=0.935
t019872959c62f44875.jpg,onnx_a,thr=0.3,count=0,top_score=0.000
t019872959c62f44875.jpg,onnx_a,thr=0.35,count=0,top_score=0.000
t019872959c62f44875.jpg,onnx_a,thr=0.4,count=0,top_score=0.000
t019872959c62f44875.jpg,onnx_a,thr=0.45,count=0,top_score=0.000
t019872959c62f44875.jpg,onnx_a,thr=0.5,count=0,top_score=0.000
t019872959c62f44875.jpg,onnx_b,thr=0.3,count=0,top_score=0.000
t019872959c62f44875.jpg,onnx_b,thr=0.35,count=0,top_score=0.000
t019872959c62f44875.jpg,onnx_b,thr=0.4,count=0,top_score=0.000
t019872959c62f44875.jpg,onnx_b,thr=0.45,count=0,top_score=0.000
t019872959c62f44875.jpg,onnx_b,thr=0.5,count=0,top_score=0.000
